37,和,hé,Conj,and,我有一個哥哥和一個姐姐。,Wǒ yǒu yí gè gēge hé yí gè jiějie.,I have an older brother and an older sister.,我和小程都有姐姐。,Wǒ hé xiǎo chéng dōu yǒu jiějie.,Little Cheng and I both have older sisters.
38,誰,shéi,Pronoun,who,他是誰?,Tā shì shéi?,Who is he?,誰是你的老師？,Shéi shì nǐ de lǎoshī?,Who is your teacher?
39,狗,gǒu,Noun,dog,平安的狗叫奶茶。,Píng'ān de gǒu jiào nǎichá.,Ping An's dog is called Milk Tea.,"我們有一隻狗, 他叫來福。","Wǒmen yǒu yì zhī gǒu, tā jiào lái fú.","We have a dog, it is called Lucky."
40,好看,hǎokàn,Adj,good-looking,我的房子很好看,Wǒ de fángzi hěn hǎokàn.,My house is good-looking.,他很好看。,Tā hěn hǎokàn.,He is good-looking.
41,書,shū,Noun,"book, books",我有一本書。,Wǒ yǒu yìběn shū.,I have a book.,我喜歡看書。,Wǒ xǐhuan kàn shū.,I like to read books.
42,兄弟姐妹,xiōngdì jiěmèi,Noun,siblings,美美有三個兄弟姐妹。,Měiměi yǒu sān gè xiōngdì jiěmèi.,Meimei has there siblings.,你的兄弟姐妹都喜歡吃日本菜嗎?,Nǐ de xiōngdì jiěmèi dōu xǐhuan chī Rìběn cài ma?,Do your siblings all like to eat Japanese cuisine?
43,房子,fángzi,Noun,house,他喜歡他爸爸媽媽的房子。,Tā xǐhuan tā bàba māma de fángzi.,He likes his parent's house.,你的爸爸媽媽的房子很好看。,Nǐ de bàba māma de fángzi hěn hǎokàn.,The house of your father and mother is really good-looking.
44,家人,jiārén,Noun,family member,我和我的家人都喜歡喝咖啡。,Wǒ hé wǒ de jiārén dōu xǐhuan hē kāfēi.,My family and I all like to drink coffee.,你的家人喜歡什麼？,Nǐ de jiārén xǐhuan shénme?,What do your family members like?
45,介紹,jièshào,Verb,to introduce,請你介紹你的家人。,Qǐng nǐ jièshào nǐ de jiārén.,Please introduce your family.,請介紹你自己。,Qǐng jièshào nǐ zìjǐ.,Please introduce yourself.
46,漂亮,piàoliàng,Adj,beautiful,你姐姐很漂亮。,Nǐ jiějie hěn piàoliàng.,Your older sister is really beautiful.,他有很多漂亮的照片。,Tā yǒu hěnduō piàoliàng de zhàopiàn.,She has many beautiful pictures.
47,張,zhāng,Measure word,"a measure word for photograph, picture, paper, table etc.",我有很多張照片。,Wǒ yǒu hěn duō zhāng zhàopiàn.,I have many pictures.,我很喜歡這張照片。,Wǒ hěn xǐhuan zhè zhāng zhàopiàn.,I really like this picture.
48,女兒,nǚér,Noun,daughter,我有一個漂亮的女兒。,Wǒ yǒu yí gè piàoliàng de nǚér.,I have a beautiful daughter.,這是我哥哥女兒的貓。,Zhè shì wǒ gēge nǚér de māo.,This cat belongs to the daughter of my older brother.
49,貓,māo,Noun,cat,他有很多隻貓。,Tā yǒu hěnduō zhī māo.,He has many cats.,我妹妹有貓也有狗。,Wǒ mèimei yǒu māo yě yǒu gǒu.,My younger sister has cats and also has dogs.
50,照片,zhàopiàn,Noun,"pictures, photos",我有很多照片。,Wǒ yǒu hěn duō zhàopiàn.,I have many pictures.,這是誰的照片? 很好看!,Zhè shì shéi de zhàopiàn? Hěn hǎokàn!,Whose picture is it? It's really good-looking.
51,多,duō,Adj,"many, more",我有很多書。,Wǒ yǒu hěn duō shū.,I have many books.,我沒有很多照片。,Wǒ méiyǒu hěn duō zhàopiàn.,I don't have many pictures.
52,兩,liǎng,Numeral,two,我有兩個女兒。,Wǒ yǒu liǎng gè nǚér.,I have two daughters.,他有兩張很漂亮的照片。,Tā yǒu liǎng zhāng hěn piàoliàng de zhàopiàn.,He has two very beautiful photos.
53,可愛,kěài,Adj,"cute,lovely",他很可愛。,Tā hěn kěài.,She is cute.,他的狗很可愛。,Tā de gǒu hěn kěài.,His dog is really cute.
54,塊,kuài,Measure word,piece； dollar,我有兩塊錢。,Wǒ yǒu liǎng kuài qián.,I have two dollars.,這杯咖啡五十塊。,Zhè bēi kāfēi wǔshí kuài.,This cup of coffee is fifty dollars.
55,杯,bēi,Measure word,"cup, cups",我有一杯咖啡。,Wǒ yǒu yì bēi kāfēi.,I have a cup of coffee.,那杯茶三十塊。,Nà bēi chá sānshí kuài.,That cup of tea is thirty dollars.
56,瓶,píng,Measure word,"bottle, bottles",我有一瓶牛奶。,Wǒ yǒu yì píng niúnǎi.,I have a bottle of milk.,"一瓶水,多少錢？","Yì píng shuǐ, duōshǎo qián?",How much does a bottle of water cost?
57,買,mǎi,Verb,buy,我們去買東西。,Wǒmen qù mǎi dōngxi.,Let's go to buy some things.,他買什麼東西？,Tā mǎi shénme dōngxi?,What does he buy?
58,錢,qián,Noun,money,那個東西多少錢?,Nà gè dōngxi duōshǎo qián?,How much does that thing cost?,這些不是我的錢。,Zhèxiē búshì wǒ de qián.,Those is not my money.
59,東西,dōngxi,Noun,"thing, things, stuff",這不是我的東西。,Zhè búshì wǒ de dōngxi.,This is not my stuff.,這些東西一共多少錢？,Zhèxiē dōngxi yígòng duōshǎo qián?,How much do those stuff cost?
60,謝謝,xièxie,Phrase,Thank you,謝謝你!,Xièxie nǐ!,Thank you!,A: 你的家很漂亮。 B: 謝謝你！,A: Nǐ de jiā hěn piàoliang. B: Xièxie nǐ!,A: Your house is beautiful. B: Thank you!
61,不客氣,búkèqì,Phrase,You're welcome,A: 謝謝你幫忙檢查我的文章。 B: 不客氣，隨時都樂意！,"A: Xièxiè nǐ bāngmáng jiǎnchá wǒ de wénzhāng. B: Bù kèqì, suíshí dōu lèyì!",A: Thanks for checking my essay. B: No problem! Happy to anytime!,,,
62,些,xiē,Measure word,some,這些東西是誰的?,Zhè xiē dōngxi shì shéi de?,Whose things are these?,這些東西一共多少錢?,Zhè xiē dōngxi yígòng duōshǎo qián?,How much do these things cost all together?
63,百,bǎi,Noun,hundred,這個東西一百塊錢。,Zhègè dōngxi yìbǎi kuài qián.,This thing is one hundred dollars.,你有一百塊嗎？,Nǐ yǒu yìbǎi kuài ma?,Do you have one hundred dollars?
64,一共,yígòng,Adv,altogether,"三杯咖啡和一杯茶,一共多少錢？","Sān bēi kāfēi hé yì bēi chá, yígòng duōshǎo qián？",How much for 3 cups of coffee and one cup of tea?,這些東西一共兩百塊。,Zhè xiē dōngxi yígòng liǎng bǎi kuài.,Those things are 200 dollars altogether.
65,今天,jīntiān,Noun,today,我今天晚上看電影。,Wǒ jīntiān wǎnshàng kàn diànyǐng.,I'll watch a movie tonight.,我們今天七點看電影。,Wǒmen jīntiān qīdiǎn kàn diànyǐng.,We'll watch a movie at 7pm today.
66,幾點,jǐdiǎn,Phrase,What time,現在幾點?,Xiànzài jǐdiǎn？,What time is it?,你今天幾點做飯？,Nǐ jīntiān jǐdiǎn zuòfàn?,What time do you cook today?
67,分,fēn,Noun,minute,現在是兩點十分。,Xiànzài shì liǎng diǎn shí fēn.,It is ten past two o'clock now.,我今天九點十分有中文課。,Wǒ jīntiān jiǔ diǎn shí fēn yǒu Zhōngwén kè.,I have Chinese class at nine ten this morning.
68,看,kàn,Verb,"to read, to watch",他喜歡看電影。,Tā xǐhuan kàn diànyǐng.,He likes to watch movies.,你喜歡看什麼書？,Nǐ xǐhuan kàn shénme shū?,What books do you like to read?
69,電影,diànyǐng,Noun,movie,你喜歡看什麼電影？,Nǐ xǐhuan kàn shénme diànyǐng?,What movie do you like to watch?,妹妹喜歡看電影。,Mèimei xǐhuan kàn diànyǐng.,My younger sister likes to watch movies.
70,上網,shàngwǎng,Verb Object,Surf Internet,我喜歡上網。,Wǒ xǐhuan shàngwǎng.,I like to surf the Internet.,"我不常上網,可是我常看書。","Wǒ bùcháng shàngwǎng, kěshì wǒ cháng kànshū.","I don't surf the Internet often, but I often read books."
71,現在,xiànzài,Noun,now,現在是一點五十五分。,Xiànzài shì yì diǎn wǔshí wǔ fēn.,It's one fifty-five now.,現在幾點?,Xiànzài jǐdiǎn？,What time is it?
72,半,bàn,Noun,half,現在是六點半。,Xiànzài shì liù diǎn bàn.,Now it is six thirty.,我早上九點半去上課。,Wǒ zǎoshàng jiǔ diǎn bàn qù shàngkè.,I go to class at nine thirty in the morning.
73,做,zuò,Verb,to do,你喜歡做什麼?,Nǐ xǐhuān zuò shénme?,What do you like to do?,你和你的家人喜歡做什麼?,Nǐ hé nǐ de jiārén xǐhuān zuò shénme?,What do you and your family like to do?
74,做飯,zuòfàn,Verb Object,to cook,你喜歡做飯嗎？,Nǐ xǐhuan zuò fàn ma?,Do you like to cook?,你幾點會做飯？,Nǐ jǐdiǎn huì zuò fàn?,What time will you cook?
75,吃飯,chīfàn,Verb Object,to eat,你今天幾點吃飯？,Nǐ jīntiān jǐdiǎn chīfàn?,What time do you eat today?,他今天十二點吃飯。,Tā jīntiān shí'èr diǎn chīfàn.,He has dinner at twelve o'clock today.
76,請問,qǐngwèn,Phrase,"Excuse me, may I ask…",請問這個東西多少錢?,Qǐngwèn zhège dōngxi duōshǎo qián?,May I ask about how much does this thing cost?,請問現在幾點？,Qǐngwèn xiànzài jǐdiǎn?,"Excuse me, what time is it now?"
77,飯館,fànguǎn,Noun,restaurant,這間飯館好不好？,Zhè  jiān fànguǎn hǎo bùhǎo?,Is this restaurant good or not?,我和我的家人都喜歡這個飯館。,Wǒ hé wǒ de jiārén dōu xǐhuan zhège fànguǎn.,My family and I all like this restaurant .
78,服務員,fúwùyuán,Noun,"waiter, waitress",這家飯館的服務員，人很好。,"Zhè jiā fànguǎn de fúwùyuán, rén hěnhǎo.",The waiter/ waitress from this restaurant is very nice.,這個服務員很漂亮。,Zhège fúwùyuán hěn piàoliang.,This waitress is very pretty.
79,杯子,bēizi,Noun,cup,我們要兩個杯子。,Wǒmen yào liǎng gè bēizi.,We would like to have two cups.,這個杯子多少錢?,Zhège bēizi duōshǎo qián?,How much is this cup?
80,真,zhēn,Adv,really,你妹妹真漂亮。,Nǐ mèimei zhēn piàoliang.,Your younger sister is really pretty.,這個東西真貴。,Zhège dōngxi zhēn guì.,This thing is really expensive.
81,點菜,diǎncài,Verb Object,to order food,請服務員來幫我們點菜。,Qǐng fúwùyuán lái bāng wǒmen diǎn cài.,Please ask the waiter to take our order.,請你幫我點菜。,Qǐng nǐ bāng wǒ diǎncài.,Please order for me.
82,好吃,hǎochī,Adj,tasty/delicious,我媽媽做的飯很好吃。,Wǒ māma zuò de fàn hěn hǎochī.,The dish made from my mother is tasty.,中國菜很好吃。,Zhōngguó cài hěn hǎochī.,Chinese food is tasty.
83,水,shuǐ,Noun,water,我有一杯水。,Wǒ yǒu yì bēi shuǐ.,I have a cup of water.,請問一杯水多少錢?,Qǐngwèn yì bēi shuǐ duōshǎo qián?,How much does a cup of water cost?
84,少,shǎo,Adj,few,我們家書很少。,Wǒmen jiā shū hěn shǎo.,We have very few books at home.,我們的照片很少。,Wǒmen de zhàopiàn hěn shǎo.,We have very few photos.
85,買單,mǎidān,Verb Object,to pay,服務員，請買單。,"Fúwùyuán, qǐng mǎidān.","Waiter, we want to pay.",這兒買單。,Zhèr mǎidān.,Pay here.
86,昨天,zuótiān,Noun,yesterday,昨天我跟我媽媽去看電影。,Zuótiān wǒ gēn wǒ māma qù kàn diànyǐng.,I went to watch a movie with my mother yesterday.,我們昨天去那家飯館吃飯。,Wǒmen zuótiān qù nà jiā fànguǎn chīfàn.,We went to that restaurant having a meal yesterday.
87,明天,míngtiān,Noun,tomorrow,明天要不要去吃飯?,Míngtiān yàobúyào qù chīfàn?,Do you want to go and eat tomorrow?,我們明天去買東西。,Wǒmen míngtiān qù mǎi dōngxi,Tomorrow we will go and buy things.
88,什麼時候,shénme shíhou,Phrase,when,你什麼時候去看電影?,Nǐ shénme shíhou qù kàn diànyǐng?,When are you going to watch movie?,你什麼時候起床?,Nǐ shénme shíhou qǐchuáng?,When do you get up?
89,上午,shàngwǔ,Noun,morning,我上午要上課。,Wǒ shàngwǔ yào shàngkè,I have classes in the morning.,他上午跟妹妹做菜。,Tā shàngwǔ gēn mèimei zuòcài.,He cooks with his younger sister in the morning.
90,星期,xīngqī,Noun,"Week, day of the week",星期一我們要上課。,Xīngqī yī wǒmen yào shàngkè.,We have class on Monday.,這個星期我們要去看電影。,Zhège xīngqī wǒmen yào qù kàn diànyǐng.,This week we are going to watch a movie.
91,起床,qǐchuáng,Verb Object,wake up,我八點起床。,Wǒ bādiǎn qǐchuáng.,I wake up at eight.,他七點起床，十點睡覺。,"Tā qīdiǎn qǐchuáng, shídiǎn shuìjiào.",He wakes up at seven and goes to sleep at ten.
92,早飯,zǎofàn,Noun,breakfast,我們九點吃早飯。,Wǒmen jiǔdiǎn chī zǎofàn.,We eat breakfast at nine.,我不吃早飯。,Wǒ bù chī zǎofàn.,I don't eat breakfast.
93,睡覺,shuìjiào,Verb Object,sleep,我爸爸十點睡覺。,Wǒ bàba shídiǎn shuìjiào.,My dad sleeps at ten.,他不睡覺也不吃飯。,Tā bú shuìjiào yě bù chīfàn.,He doesn't sleep or eat.
94,上課,shàngkè,Verb Object,"go to class,attend class",我們明天要上課。,Wǒmen míngtiān yào shàngkè.,We have class tomorrow.,昨天我們去上課也去看電影。,Zuótiān wǒmen qù shàngkè yě qù kàn diànyǐng.,We went to class and also went to watch a movie yesterday.
95,想,xiǎng,Verb,"to want to ,to plan to/to think",我想跟你看電影。,Wǒ xiǎng gēn nǐ kàn diànyǐng.,I want to watch a movie with you.,我今天想吃中國菜。,Wǒ jīntiān xiǎng chī Zhōngguó cài.,I want to eat Chinese food today.
96,月,yuè,Measure word,month,明天是十二月六日。,Míngtiān shì shíèr yuè liù rì.,Tomorrow is December 6th.,"三月七日是我的生日,我想請你來我家。","Sānyuè qīrì shì wǒ de shēngrì, wǒ xiǎng qǐng nǐ lái wǒ jiā.","My birthday is on the seventh of March, I would like to invite you to my home."
97,日,rì,Measure word,day,今天是十二月五日。,Jīntiān shì shíèr yuè wǔ rì.,Today is December 5th.,聖誕節是十二月二十五日,Shèngdàn jié shì shí'èr yuè èrshíwǔ rì,Christmas is December 25th
98,下午,xiàwǔ,Noun,afternoon,你明天下午做什麼?,Nǐ míngtiān xiàwǔ zuò shénme?,What are you going to do tomorrow afternoon?,你今天下午想做什麼？,Nǐ jīntiān xiàwǔ xiǎng zuò shénme?,What do you want to do this afternoon?
99,晚上,wǎnshàng,Noun,evening,你明天晚上看電影嗎?,Nǐ míngtiān wǎnshàng kàn diànyǐng ma?,Do you want to watch a movie tomorrow night?,我今天晚上沒有空。,Wǒ jīntiān wǎnshàng méiyǒu kòng.,I'm not free tonight.
100,請,qǐng,Verb,"to treat, to invite",明天我請你去中國飯館吃飯。,Míngtiān wǒ qǐng nǐ qù Zhōngguó fànguǎn chīfàn.,Tomorrow I'll treat you to a meal at a Chinese restaurant.,他想請你看電影。,Tā xiǎng qǐng nǐ kàn diànyǐng.,He wants to treat you to a movie.
101,來,lái,Verb,to come,他來我家吃飯。,Tā lái wǒ jiā chīfàn.,He came to my house and had a meal.,你什麼時候來我家？,Nǐ shénme shíhou lái wǒ jiā?,When do you come to my place?
102,有空,yǒukòng,Verb,"have free time, to be free",你有空嗎?,Nǐ yǒukòng ma?,Are you free?,他今天下午沒有空。,Tā jīntiān xiàwǔ méiyǒu kòng.,He is not free this afternoon.
103,對不起,duìbùqǐ,Phrase,sorry,A: 對不起。 B: 沒關係 。,A: Duìbùqǐ. B: Méiguānxi.,A: I am sorry.  B: It's ok.,我只想說對不起。,Wǒ zhǐ xiǎng shuō duìbùqǐ.,I only want to say I'm sorry.
104,沒關係,méiguānxi,Phrase,"that's ok, no problem",A: 對不起。 B: 沒關係。,A: Duìbùqǐ. B: Méiguānxi.,A: I am sorry.  B: It's ok.,A: 對不起，今天晚上我沒空。 B: 沒關係。,A: Duìbùqǐ，jīntiān wǎnshàng wǒ méi kòng. B: Méiguānxi.,"A: I am sorry, I don't have free time tonight. B: It's ok."
105,生日,shēngrì,Noun,birthday,我的生日是二月十八號。,Wǒ de shēngrì shì èr yuè shíbā hào.,My birthday is February eighteenth.,今天是你的生日，我請你吃飯。,"Jīntiān shì nǐ de shēngrì, wǒ qǐng nǐ chīfàn.","It's your birthday today, I will treat you to a meal."
106,打球,dǎqiú,Verb Object,"to play ball games, ball sports",每個週末我都會跟朋友去打球,Měi gè zhōumò wǒ dūhuì gēn péngyou qù dǎqiú,I play basketball with my friends every weekend.,我週末常打球。,Wǒ zhōumò cháng dǎqiú.,I often play ball on weekends.
107,籃球,lánqiú,Noun,basketball,你打籃球嗎?,Nǐ dǎ lánqiú ma?,Do you play basketball?,我們明天早起去打籃球，好不好?,"Wǒmen míngtiān zǎoqǐ qù dǎ lánqiú, hǎo bùhǎo?","Let's wake up early tomorrow to play basketball, okay?"
108,球賽,qiúsài,Noun,"match, ball games",你喜歡看球賽嗎?,Nǐ xǐhuan kàn qiúsài ma?,Do you like to watch sports matches?,你昨天看什麼球賽?,Nǐ zuótiān kàn shénme qiúsài?,What ball game did you watch last night?
109,逛街,guàngjiē,Verb Object,shopping,他喜歡去逛街。,Tā xǐhuan qù guàngjiē.,She likes to go shopping.,你今天晚上有空去逛街嗎？,Nǐ jīntiān wǎnshàng yǒu kòng qù guàngjiē ma?,Do you have time to go shopping tonight?
110,週末,zhōumò,Noun,weekend,週末他做什麼?,Zhōumò tā zuò shénme?,What does he do on weekends?,星期五晚上運動的人很多，週末呢?,"Xīngqī wǔ wǎnshàng yùndòng de rén hěnduō, zhōumò ne?","A lot of people exercise on Friday evenings, how about the weekend?"
111,早起,zǎoqǐ,Verb,to wake up early,我喜歡早起去打球。,Wǒ xǐhuan zǎoqǐ qù dǎ qiú.,I like to wake up early to play the ball.,你是早起的人。,Nǐ shì zǎoqǐ de rén.,You are a person who always wakes up early.
112,覺得,juéde,Verb,"to feel,to think,to consider",我覺得做飯很好玩兒。,Wǒ juéde zuòfàn hěn hǎowánr.,I think cooking is fun.,你覺得學習中文好不好玩？,Nǐ juéde xuéxí Zhōngwén hǎo bùhǎo wán?,Do you think learning Chinese is fun or not?
113,好玩兒,hǎowán'er,Adj,"interesting, fun, enjoyable",打籃球很好玩兒。,Dǎ lánqiú hěn hǎowánr.,It's fun to play basketball.,這個電腦遊戲很好玩兒。,Zhège diànnǎo yóuxì hěn hǎowánr。,This computer game is fun.
114,運動,yùndòng,Noun,"exercise, to exercise",你喜歡什麼運動?,Nǐ xǐhuan shénme yùndòng?,What sports do you like?,他常運動。,Tā cháng yùndòng.,He exercises often.
115,電影院,diànyǐngyuàn,Noun,cinema,我現在在電影院看電影。,Wǒ xiànzài zài diànyǐngyuàn kàn diànyǐng.,I am now at the cinema watching a movie.,你想什麼時候去電影院？,Nǐ xiǎng shénme shíhou qù diànyǐngyuàn?,When do you want to go to a cinema?
116,學習,xuéxí,Verb,to study,他在中國學習中文。,Tā zài Zhōngguó xuéxí Zhōngwén.,He studies Chinese in China.,我喜歡在圖書館學習。,Wǒ xǐhuan zài túshūguǎn xuéxí.,I like to study in the library.
117,酒吧,jiǔba,Noun,bar,晚上我們去酒吧喝啤酒。,Wǎnshàng wǒmen qù jiǔbā hē píjiǔ.,We are going to a bar to drink beer at night.,我週末常去酒吧。,Wǒ zhōumò cháng qù jiǔba.,I often go to bars on weekends.
118,啤酒,píjiǔ,Noun,beer,我們一起喝啤酒。,Wǒmen yìqǐ hē píjiǔ。,We drink beer together.,那家酒吧的啤酒很不錯！,Nà jiā jiǔba de píjiǔ hěn búcuò!,The beer at that bar is very good.
119,有意思,yǒuyìsi,Adj,"interesting, fun",我覺得出門很有意思! 我喜歡出門去運動。,Wǒ juéde chūmén hěn yǒuyìsi! Wǒ xǐhuan chūmén qù yùndòng.,I think going out is fun! I like to go out to exercise.,我覺得學漢語很有意思。,Wǒ juédé xué hànyǔ hěn yǒuyìsi.,I think it's interesting to learn Chinese.
120,無聊,wúliáo,Adj,"boring,bored",他覺得出門太麻煩了，也覺得很無聊。,"Tā juéde chūmén tài máfán le, yě juéde hěn wúliáo.",He thinks going out is too troublesome and boring.,"我覺得看電影很無聊,我喜歡看書。","Wǒ juéde kàn diànyǐng hěn wúliáo, wǒ xǐhuan kàn shū.","I think watching movies is boring, I like to read books."
121,麻煩,máfán,Verb,"be annoyed,to bother, troublesome, annoying",我是一個麻煩的人。,Wǒ shì yí gè máfán de rén.,I am a troublesome person.,他覺得去電影院看電影很麻煩。,Tā juéde qù diànyǐngyuàn kàn diànyǐng hěn máfán.,He thinks going to watch movies at cinema is bothersome.
